"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"kroA150","H",10,1,"ACO","restart",229905.16514,229614.913737374,202822.994545455
"kroA150","H",10,1,"ACO","ri",230647.8023,222227.121818182,195435.202626263
"kroA150","H",25,0.1,"ACO","restart",226934.82774,229489.123589744,202285.021025641
"kroA150","H",25,0.1,"ACO","ri",162316.04626,156982.735897436,129778.633333333
"kroA150","H",25,0.25,"ACO","restart",227377.08922,230102.121025641,202898.018461538
"kroA150","H",25,0.25,"ACO","ri",191774.26206,181917.10974359,154713.007179487
"kroA150","H",25,0.5,"ACO","restart",227345.87418,230040.066153846,202835.963589743
"kroA150","H",25,0.5,"ACO","ri",209201.17382,195436.435897436,168232.333333333
"kroA150","H",25,0.75,"ACO","restart",227400.29456,230168.201538462,202964.098974359
"kroA150","H",25,0.75,"ACO","ri",216560.86368,200954.571794872,173750.469230769
"kroA150","H",25,1,"ACO","restart",227272.815,230106.581025641,202902.478461539
"kroA150","H",25,1,"ACO","ri",218532.3822,202382.248205128,175178.145641026
"kroA150","H",50,0.1,"ACO","restart",217984.14358,217659.097894737,189739.097894737
"kroA150","H",50,0.1,"ACO","ri",146477.16268,142276.04,114356.04
"kroA150","H",50,0.25,"ACO","restart",222463.212,223984.624210526,196064.624210526
"kroA150","H",50,0.25,"ACO","ri",171439.17102,159554.273684211,131634.273684211
"kroA150","H",50,0.5,"ACO","restart",224420.91196,227044.762105263,199124.762105263
"kroA150","H",50,0.5,"ACO","ri",191421.68532,173635.110526316,145715.110526316
"kroA150","H",50,0.75,"ACO","restart",224689.7981,227423.842105263,199503.842105263
"kroA150","H",50,0.75,"ACO","ri",200611.37488,179816.916842105,151896.916842105
"kroA150","H",50,1,"ACO","restart",224878.95518,227997.774736842,200077.774736842
"kroA150","H",50,1,"ACO","ri",203501.70064,181870.696842105,153950.696842105
"kroA150","H",100,0.1,"ACO","restart",200912.23702,166878.524444444,137407.413333333
"kroA150","H",100,0.1,"ACO","ri",143737.3336,145241.206666667,115770.095555556
"kroA150","H",100,0.25,"ACO","restart",200868.01064,166597.193333333,137126.082222222
"kroA150","H",100,0.25,"ACO","ri",151565.5037,140094.171111111,110623.06
"kroA150","H",100,0.5,"ACO","restart",200939.89184,166749.735555556,137278.624444444
"kroA150","H",100,0.5,"ACO","ri",169973.05502,149426.844444444,119955.733333333
"kroA150","H",100,0.75,"ACO","restart",201037.61928,166801.184444445,137330.073333333
"kroA150","H",100,0.75,"ACO","ri",179953.075,155073.564444444,125602.453333333
"kroA150","H",100,1,"ACO","restart",200874.06308,166854.564444444,137383.453333333
"kroA150","H",100,1,"ACO","ri",182165.57706,156465.144444444,126994.033333333
"kroA150","H",200,0.1,"ACO","restart",163772.4436,138141.285,104986.285
"kroA150","H",200,0.1,"ACO","ri",137907.52834,154578.88,121423.88
"kroA150","H",200,0.25,"ACO","restart",163623.17292,137785.555,104630.555
"kroA150","H",200,0.25,"ACO","ri",149518.5683,158226.64,125071.64
"kroA150","H",200,0.5,"ACO","restart",163329.6633,137801.63,104646.63
"kroA150","H",200,0.5,"ACO","ri",160925.181,159649.27,126494.27
"kroA150","H",200,0.75,"ACO","restart",163428.96758,137476.1,104321.1
"kroA150","H",200,0.75,"ACO","ri",166831.00976,160396.04,127241.04
"kroA150","H",200,1,"ACO","restart",163602.1028,138211.915,105056.915
"kroA150","H",200,1,"ACO","ri",166273.96698,156144.65,122989.65
