"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"joanA100","H",100,0.75,"PBIL","restart",-1766.33872,-1973.40888888889,45.48
"joanA100","H",100,0.75,"PBIL","ri",-1746.61828,-1963.64444444444,55.2444444444444
"joanA100","H",100,1,"PBIL","restart",-1766.03002,-1972.58222222222,46.3066666666667
"joanA100","H",100,1,"PBIL","ri",-1737.61362,-1961.69111111111,57.1977777777778
"joanA100","H",200,0.1,"PBIL","restart",-1774.97982,-2236.81,34.44
"joanA100","H",200,0.1,"PBIL","ri",-1785.37396000009,-2241.405,29.845
"joanA100","H",200,0.25,"PBIL","restart",-1774.44874,-2235.305,35.945
"joanA100","H",200,0.25,"PBIL","ri",-1772.74318000007,-2229.195,42.055
"joanA100","H",200,0.5,"PBIL","restart",-1774.279,-2235.295,35.955
"joanA100","H",200,0.5,"PBIL","ri",-1761.66324000001,-2220.35,50.9
"joanA100","H",200,0.75,"PBIL","restart",-1774.33364,-2234.875,36.375
"joanA100","H",200,0.75,"PBIL","ri",-1754.81262,-2218.115,53.135
"joanA100","H",200,1,"PBIL","restart",-1774.04136,-2235.505,35.745
"joanA100","H",200,1,"PBIL","ri",-1748.14246,-2217.08,54.17
